"_id","ph_number","ph_owner","ph_org_id","ph_ownerFIO"
"552","970226","","11814",""
"557","89618240064","","11819",""
"785","968780","","11875",""
"786","89188305577","","11875",""
"941","991331","","11893",""
"1190","89194257680","","11925",""
"1258","91729","","5556",""
"1288","92446","","4416",""
"1295","91821","начальник","4395",""
"1296","90206","заместитель","4395",""
"1367","91233","","2617",""
"1368","91910","","2617",""
"1369","92027","","2617",""
"1370","90621","","11955",""
"1371","91105","","11955",""
"1372","91143","","11955",""
"1373","90622","","11955",""
"1416","36676","","7920",""
"1434","89188258040","","9865",""
"1561","31193","","2145",""
"1831","90029","","9580",""
"1931","89280683009","","11635",""
"2151","32953","","9164",""
"2152","30068","","9165",""
"2228","32994","","3906",""
"2583","59211","","2715",""
"2628","546494","","7412",""
"2703","443180","","6420",""
"2823","31769","","7159",""
"2824","89280732757","","7159",""
"2970","31242","дежурный (круглосуточно)","4802",""
"2971","31408","нач-к ОП","4802",""
"2972","32750","нач-к УР","4802",""
"2976","690050","","4801",""
"3150","35777","глава АМС","4669",""
"3179","31855","","4602",""
"3306","730463","","836",""
"3307","89284959976","","836",""
"3377","31796","","5237",""
"3381","89188297363","","11418",""
"3418","761723","приемная","3557",""
"3419","531579","директор","3557",""
"3509","93273","","6289",""
"3559","92619","диспетчер","7686",""
"3560","92626","приемная","7686",""
"3561","92556","приемная","7686",""
"3562","92615","гл.инженер","7686",""
"3563","92590","гл.бухгалтер","7686",""
"3656","542113","директор","2859",""
"3657","543313","автомагазин","2859",""
"3658","546671","оператор","2859",""
"3681","95146","","5945",""
"3690","32011","секретарь","2674",""
"3691","33725","председатель","2674",""
"3692","32026","бухгалтерия","2674",""
"3953","32142","","4084",""
"4214","754371","","4167",""
"4446","92337","директор","5871",""
"4447","92168","бухгалтерия","5871",""
"4448","92142","проходная","5871",""
"4616","92140","","2699",""
"4617","92131","","2699",""
"4618","92135","","2699",""
"4619","92166","","2699",""
"4620","92175","","2699",""
"4621","92184","","2699",""
"4716","30925","","2754",""
"4799","34477","","11922",""
"4819","939881","","12042",""
"4884","965964","","12082",""
"4885","89187081874","","12083",""
"4916","89187081874","","12084",""
"4952","89188207577","","7945",""
"4953","89280688342","","7945",""
"5064","774724","","12106",""
"5131","32008","","7252",""
"5166","577677","","10825",""
"5169","51599","","4473",""
"5170","50065","","4473",""
"5215","949594","","11012",""
"5216","89188311328","","11012",""
"5221","730451","","1402",""
"5245","90645","","4392",""
"5503","976940","","11707",""
"5661","445508","","11534",""
"5662","499390","","11534",""
"6038","21842","директор","2549",""
"6039","21061","гл. бухгалтер","2549",""
"6230","446210","директор, приемная","2648",""
"6231","240636","бухгалтерия","2648",""
"6232","240638","бухгалтерия","2648",""
"6233","747487","проходная","2648",""
"6367","33636","","5221",""
"6541","32677","директор","3069",""
"6542","32674","бухгалтерия","3069",""
"6543","31669","проходная","3069",""
"7472","510908","","2968",""
"7473","514000","","10822",""
"7530","761360","","94",""
"7798","967700","","10743",""
"8147","935641","","10784",""
"8148","89188235641","","10784",""
"8155","538557","приемная","5196",""
"8156","530128","бухгалтерия","5196",""
"8157","544633","плановый отдел","5196",""
"8158","533015","проходная","5196",""
"8177","51114","начальник","11664",""
"8178","22688","АБО","11664",""
"8187","89618223476","","11645",""
"8188","495114","","11645",""
"8193","747850","директор","3192",""
"8194","519607","гл. бухгалтер","3192",""
"8195","742066","бухгалтерия","3192",""
"8198","513037","","7227",""
"8199","768231","","7227",""
"8296","30606","","7615",""
"8297","30630","","7615",""
"8321","767472","директор","3126",""
"8322","764478","проходная","3126",""
"8355","551215","","4297",""
"8470","56616","","6001",""
"8584","766518","","7679",""
"8755","32402","","4863",""
"8770","95341","","5998",""
"8781","90053","","4391",""
"8854","530450","директор","130",""
"8855","598523","отдел","130",""
"8856","598267","гл. бухгалтер","130",""
"8991","92142","","5940",""
"9020","22381","","6235",""
"9038","36100","","10676",""
"9062","32570","","7294",""
"9063","32613","","5030",""
"9064","31944","","6270",""
"9068","34142","","4605",""
"9071","512838","","4670",""
"9100","92143","","8621",""
"9104","518525","","1242",""
"9118","531030","","4520",""
"9137","35176","","5426",""
"9142","56613","","5413",""
"9149","50145","","6320",""
"9159","93731","","6321",""
"9160","35684","","6027",""
"9251","31240","","1918",""
"9259","53324","","6071",""
"9270","51671","","6084",""
"9283","30517","","6109",""
"9284","52702","","5579",""
"9290","31154","","6101",""
"9295","22161","","6304",""
"9298","91614","","2775",""
"9361","31377","","3699",""
"9411","31543","","2777",""
"10480","89187016103","","11239",""
"10563","89284810132","","12075",""
